제목,내용,기자,날짜
"[ISEC 2022] 아카마이, 최신 위협 트렌드 변화와 랜섬웨어 생태계 공유 ",ISEC 2022 첫째 날인 18일 C트랙에서 한준형 아카마이 테크놀로지스 기술영업 상무가 ‘최신 위협 트렌드 변화와 랜섬웨어 생태계’ 주제로 강연을 진행...,김경애 기자,2022년 10월 24일 11:08
"[ISEC 2022] 소프트캠프, 수요자 관점의 선제적인 공급망 공격 대응방안",ISEC 2022 첫째 날인 18일 C트랙에서 전익찬 소프트캠프(레드펜소프트) 부사장이 ‘수요자 관점의 선제적인 공급망 공격 대응 방안’을 주제로 강연을 ...,김경애 기자,2022년 10월 24일 10:58
"파수, 사회복지법인 굿네이버스 데이터 보안 플랫폼 구현",파수(대표 조규곤)는 사회복지법인 굿네이버스(대표 이호균)에 문서 보안 및 데이터 식별·분류 등의 데이터 보안 솔루션을 공급했다. 굿네이버스는 파수의 다양...,김영명 기자,2022년 10월 24일 10:56
"[ISEC 2022] 테이텀 시큐리티, 클라우드 보안의 모든 것을 한 번에!",ISEC 2022 둘째 날인 19일 B트랙에서 테이텀 시큐리티 박수현 개발이사는 ‘클라우드 보안의 모든 것을 한 번에!’라는 주제로 강연을 진행했다. 박수...,김영명 기자,2022년 10월 24일 10:36
"KISA, 재중 한국기업 대상 개인정보보호 온라인 세미나 개최","한국인터넷진흥원(KISA, 원장 이원태)은 개인정보보호위원회(위원장 고학수)와 함께 중국 노선에 취항하는 국내 항공사 및 중국 소재 한국기업을 대상으로 중...",원병철 기자,2022년 10월 24일 10:34
"[ISEC 2022] 모니터랩, SASE 기반 클라우드 보안 기술에 대한 이해",ISEC 2022 둘째 날인 19일 B트랙에서 류봉현 모니터랩 본부장은 ‘SASE 기반의 클라우드 보안 기술에 대한 이해’를 주제로 강연을 진행했다. 류봉...,김영명 기자,2022년 10월 24일 10:32
"[ISEC 2022] 시큐레터, 리버스 엔지니어링 기술 활용한 악성코드 탐지 자동화 사례",ISEC 2022 둘째 날인 19일 D트랙에서 시큐레터 임차성 대표는 ‘리버스 엔지니어링 기술 활용한 악성코드 탐지 자동화 사례-악성코드 차단을 위한 차세...,김영명 기자,2022년 10월 24일 10:28
"[ISEC 2022] 시큐어레터, 차세대 무선침입방지 시스템의 현재와 미래 ",ISEC 2022 둘째 날인 19일 D트랙에서 시큐어레터 김찬석 연구소장은 ‘차세대 무선침입방지 시스템 DeepTrust AIR’를 주제로 강연을 진행했다...,김영명 기자,2022년 10월 24일 10:27
"금융보안원, 금융 분야 마이데이터 통합인증 중계서비스 실시","금융보안원(원장 김철웅)은 금융 분야 마이데이터 통합인증을 효과적으로 지원하기 위한 마이데이터 통합인증 중계시스템을 성공적으로 구축, 약 3개월간의 시범서...",원병철 기자,2022년 10월 24일 10:26
"[ISEC 2022] 멘로시큐리티, 제로 트러스트의 시작 브라우저 격리",ISEC 2022 둘째 날인 19일 D트랙에서 멘로시큐리티 코리아 김성래 지사장은 ‘제로 트러스트의 시작 브라우저 격리’를 주제로 강연을 진행했다. 김성래...,김영명 기자,2022년 10월 24일 10:24
"[ISEC 2022] 센티넬원, “Must have EDR, 선택이 아닌 필수입니다”","ISEC 2022 둘째 날인 19일 B트랙에서 센티넬원 박정수 이사는 ‘Must have EDR, 선택이 아닌 필수입니다’라는 주제로 강연을 진행했다. 박...",김영명 기자,2022년 10월 24일 10:13
"[ISEC 2022] 에스에스앤씨, 하이브리드 업무환경에서 요구되는 SSE로의 전환 전략 ","ISEC 2022 둘째 날인 19일 D트랙에서 에스에스앤씨 조창석 상무(영업대표)는 ‘하이브리드 업무환경에서 요구되는 보안의 단순화 전략, SSE(보안서비...",김영명 기자,2022년 10월 24일 10:02
우버 해킹 사고와 전 CISO의 판결이 우리 모두에게 갖는 의미,CISO로 지내기에 매우 어려운 시기다. 지난 몇 주간 보안 업계는 우버와 관련된 이야기들에 많은 관심을 가질 수밖에 없었다. 장난 같기도 하지만 그냥 웃...,문가용 기자,2022년 10월 24일 01:11
"티맵모빌리티, “자동차 사이버보안의 ‘T’rust Mobility 꿈꾼다”",티맵모빌리티가 자동차 제조사를 제외한 국내 모빌리티 기업 중 최초로 ISO/SAE 21434 자동차 사이버보안 엔지니어링 국제 표준의 11개 전 영역 인증...,김영명 기자,2022년 10월 24일 01:08
